Table of dimensions of level N homology over Q(sqrt(-5))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
5	2	54.3	 54	40   9		27   4		11   0
5	2	54.4	 54	23   0		15   0		7   0
5	2	56.1	 56	21   6		18   3		7   0
5	2	56.2	 56	21   6		18   3		7   0
5	2	58.1	 58	7   0		7   0		3   0
5	2	58.2	 58	7   0		7   0		3   0
5	2	60.1	 60	27   4		26   3		13   2
5	2	60.2	 60	27   4		26   3		13   2
5	2	61.1	 61	3   0		3   0		1   0
5	2	61.2	 61	3   0		3   0		1   0
5	2	63.1	 63	15   0		11   0		5   0
5	2	63.2	 63	15   0		11   0		5   0
5	2	63.3	 63	17   2		15   0		7   0
5	2	63.4	 63	17   2		15   0		7   0
5	2	63.5	 63	15   0		11   0		5   0
5	2	63.6	 63	15   0		11   0		5   0
5	2	64.1	 64	34   11		28   9		13   4
5	2	67.1	 67	3   0		3   0		1   0
5	2	67.2	 67	3   0		3   0		1   0
5	2	69.1	 69	7   0		7   0		3   0
5	2	69.2	 69	9   2		8   1		4   1
5	2	69.3	 69	9   2		8   1		4   1
5	2	69.4	 69	7   0		7   0		3   0
5	2	70.1	 70	17   2		15   0		7   0
5	2	70.2	 70	17   2		15   0		7   0
5	2	72.1	 72	35   4		26   3		11   0
5	2	72.2	 72	48   17		42   11		16   1
5	2	72.3	 72	35   4		26   3		11   0
5	2	75.1	 75	29   6		15   0		7   0
5	2	75.2	 75	29   6		15   0		7   0
5	2	80.1	 80	36   13		36   13		18   7
5	2	81.1	 81	23   0		13   0		6   0
5	2	81.2	 81	28   5		17   2		7   0
5	2	81.3	 81	42   11		24   5		9   0
5	2	81.4	 81	28   5		17   2		7   0
5	2	81.5	 81	23   0		13   0		6   0
5	2	82.1	 82	9   2		7   0		3   0
5	2	82.2	 82	9   2		7   0		3   0
5	2	83.1	 83	3   0		3   0		1   0
5	2	83.2	 83	3   0		3   0		1   0
5	2	84.1	 84	31   8		25   2		11   0
5	2	84.2	 84	27   4		23   0		11   0
5	2	84.3	 84	27   4		23   0		11   0
5	2	84.4	 84	31   8		25   2		11   0
5	2	86.1	 86	7   0		7   0		3   0
5	2	86.2	 86	7   0		7   0		3   0
5	2	87.1	 87	7   0		7   0		3   0
5	2	87.2	 87	7   0		7   0		3   0
5	2	87.3	 87	7   0		7   0		3   0
5	2	87.4	 87	7   0		7   0		3   0
5	2	89.1	 89	5   2		4   1		2   1
5	2	89.2	 89	5   2		4   1		2   1
5	2	90.1	 90	35   4		25   2		11   0
5	2	90.2	 90	40   9		36   5		18   3
5	2	90.3	 90	35   4		25   2		11   0
5	2	92.1	 92	11   0		11   0		5   0
5	2	92.2	 92	11   0		11   0		5   0
5	2	94.1	 94	7   0		7   0		3   0
5	2	94.2	 94	7   0		7   0		3   0
5	2	96.1	 96	41   10		41   10		19   4
5	2	96.2	 96	41   10		41   10		19   4
5	2	98.1	 98	36   5		21   2		10   1
5	2	98.2	 98	34   19		20   5		8   1
5	2	98.3	 98	36   5		21   2		10   1
5	2	100.1	 100	56   21		30   7		15   4
