Q(sqrt(-83))	discriminant = -83	min poly(a) = a^2-a+21.
Class number 3
Ideal class group representatives: [ [1,a] [3,a] [3,2+a] ]
2-rank of class group = 0
165 prime ideals initialised, max norm = 1000
P673b = 673.2 = [673,358+a] = (43+2a,-14+15a) (not principal)
P691a = 691.1 = [691,291+a] = (-36+7a,-37-12a) (not principal)
P691b = 691.2 = [691,399+a] = (29+7a,-49+12a) (not principal)
P701a = 701.1 = [701,137+a] = (-16+5a,-105-11a) = (-16+5a) (principal)
P701b = 701.2 = [701,563+a] = (11+5a,-105+16a) = (11+5a) (principal)
P727a = 727.1 = [727,192+a] = (41+4a,-28+15a) (not principal)
P727b = 727.2 = [727,534+a] = (-45+4a,-13-15a) (not principal)
P733a = 733.1 = [733,343+a] = (-47+2a,-14-15a) (not principal)
P733b = 733.2 = [733,389+a] = (45+2a,-29+15a) (not principal)
P739a = 739.1 = [739,238+a] = (-25+3a,-63-22a) = (-25+3a) (principal)
P739b = 739.2 = [739,500+a] = (22+3a,-63+25a) = (22+3a) (principal)
P751a = 751.1 = [751,125+a] = (-1+6a,-126+5a) = (-1+6a) (principal)
P751b = 751.2 = [751,625+a] = (-5+6a,-126+a) = (-5+6a) (principal)
P757a = 757.1 = [757,228+a] = (9+10a,-73+3a) (not principal)
P757b = 757.2 = [757,528+a] = (-19+10a,-70-3a) (not principal)
P773a = 773.1 = [773,198+a] = (19+4a,-84+23a) = (19+4a) (principal)
P773b = 773.2 = [773,574+a] = (-23+4a,-84-19a) = (-23+4a) (principal)
P787a = 787.1 = [787,270+a] = (23+3a,-63+26a) = (23+3a) (principal)
P787b = 787.2 = [787,516+a] = (-26+3a,-63-23a) = (-26+3a) (principal)
P811a = 811.1 = [811,136+a] = (5+6a,-126+11a) = (5+6a) (principal)
P811b = 811.2 = [811,674+a] = (-11+6a,-126-5a) = (-11+6a) (principal)
P839a = 839.1 = [839,76+a] = (-3+11a,-76-a) (not principal)
P839b = 839.2 = [839,762+a] = (-8+11a,-77+a) (not principal)
P853a = 853.1 = [853,87+a] = (17+10a,-70+9a) (not principal)
P853b = 853.2 = [853,765+a] = (-27+10a,-61-9a) (not principal)
P857a = 857.1 = [857,50+a] = (50+a,-7+17a) (not principal)
P857b = 857.2 = [857,806+a] = (-51+a,10-17a) (not principal)
P859a = 859.1 = [859,362+a] = (-43+7a,-49-12a) (not principal)
P859b = 859.2 = [859,496+a] = (36+7a,-61+12a) (not principal)
P863a = 863.1 = [863,163+a] = (-48+5a,-19-16a) (not principal)
P863b = 863.2 = [863,699+a] = (43+5a,-35+16a) (not principal)
P881a = 881.1 = [881,401+a] = (6+11a,-79+2a) (not principal)
P881b = 881.2 = [881,479+a] = (-17+11a,-77-2a) (not principal)
P907a = 907.1 = [907,328+a] = (-20+11a,-77-3a) (not principal)
P907b = 907.2 = [907,578+a] = (9+11a,-80+3a) (not principal)
P911a = 911.1 = [911,215+a] = (-51+4a,-11-17a) (not principal)
P911b = 911.2 = [911,695+a] = (47+4a,-28+17a) (not principal)
P929a = 929.1 = [929,438+a] = (-53+2a,-14-17a) (not principal)
P929b = 929.2 = [929,490+a] = (51+2a,-31+17a) (not principal)
P941a = 941.1 = [941,140+a] = (39+7a,-62+13a) (not principal)
P941b = 941.2 = [941,800+a] = (-46+7a,-49-13a) (not principal)
P953a = 953.1 = [953,92+a] = (-33+10a,-59-11a) (not principal)
P953b = 953.2 = [953,860+a] = (23+10a,-70+11a) (not principal)
P977a = 977.1 = [977,179+a] = (15+11a,-82+5a) (not principal)
P977b = 977.2 = [977,797+a] = (-26+11a,-77-5a) (not principal)
P983a = 983.1 = [983,476+a] = (-31+2a,-42-29a) = (-31+2a) (principal)
P983b = 983.2 = [983,506+a] = (29+2a,-42+31a) = (29+2a) (principal)
P991a = 991.1 = [991,448+a] = (-27+11a,-68-9a) (not principal)
P991b = 991.2 = [991,542+a] = (16+11a,-77+9a) (not principal)
P997a = 997.1 = [997,54+a] = (54+a,-25+18a) (not principal)
P997b = 997.2 = [997,942+a] = (-55+a,-7-18a) (not principal)
