Table of dimensions of level N homology over Q(sqrt(-6))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
6	2	55.1	 55	9   2		8   1		3   0
6	2	55.2	 55	7   0		7   0		3   0
6	2	55.3	 55	7   0		7   0		3   0
6	2	55.4	 55	9   2		8   1		3   0
6	2	56.1	 56	19   4		17   2		7   0
6	2	56.2	 56	19   4		17   2		7   0
6	2	58.1	 58	8   1		7   0		3   0
6	2	58.2	 58	8   1		7   0		3   0
6	2	59.1	 59	3   0		3   0		1   0
6	2	59.2	 59	3   0		3   0		1   0
6	2	60.1	 60	31   8		29   6		11   0
6	2	60.2	 60	31   8		29   6		11   0
6	2	62.1	 62	7   0		7   0		3   0
6	2	62.2	 62	7   0		7   0		3   0
6	2	63.1	 63	23   8		16   5		5   0
6	2	63.2	 63	23   8		16   5		5   0
6	2	64.1	 64	42   19		26   7		11   2
6	2	66.1	 66	24   9		21   6		7   0
6	2	66.2	 66	24   9		21   6		7   0
6	2	70.1	 70	15   0		15   0		7   0
6	2	70.2	 70	15   0		15   0		7   0
6	2	70.3	 70	15   0		15   0		7   0
6	2	70.4	 70	15   0		15   0		7   0
6	2	72.1	 72	54   23		36   13		16   5
6	2	73.1	 73	5   2		5   2		2   1
6	2	73.2	 73	5   2		5   2		2   1
6	2	75.1	 75	27   4		19   4		8   1
6	2	75.2	 75	34   19		28   13		8   1
6	2	75.3	 75	27   4		19   4		8   1
6	2	77.1	 77	7   0		7   0		3   0
6	2	77.2	 77	7   0		7   0		3   0
6	2	77.3	 77	7   0		7   0		3   0
6	2	77.4	 77	7   0		7   0		3   0
6	2	79.1	 79	3   0		3   0		1   0
6	2	79.2	 79	3   0		3   0		1   0
6	2	80.1	 80	30   7		23   0		11   0
6	2	80.2	 80	30   7		23   0		11   0
6	2	81.1	 81	38   15		21   8		7   1
6	2	83.1	 83	3   0		3   0		1   0
6	2	83.2	 83	3   0		3   0		1   0
6	2	84.1	 84	35   12		33   10		11   0
6	2	84.2	 84	35   12		33   10		11   0
6	2	87.1	 87	10   3		10   3		3   0
6	2	87.2	 87	10   3		10   3		3   0
6	2	88.1	 88	17   2		15   0		7   0
6	2	88.2	 88	17   2		15   0		7   0
6	2	90.1	 90	43   12		31   8		11   0
6	2	90.2	 90	43   12		31   8		11   0
6	2	93.1	 93	9   2		9   2		3   0
6	2	93.2	 93	9   2		9   2		3   0
6	2	96.1	 96	62   31		52   21		24   9
6	2	97.1	 97	5   2		3   0		1   0
6	2	97.2	 97	5   2		3   0		1   0
6	2	98.1	 98	35   4		21   2		11   2
6	2	98.2	 98	34   19		22   7		8   1
6	2	98.3	 98	35   4		21   2		11   2
6	2	99.1	 99	27   12		18   7		5   0
6	2	99.2	 99	27   12		18   7		5   0
6	2	100.1	 100	38   3		23   0		11   0
6	2	100.2	 100	46   23		30   7		12   1
6	2	100.3	 100	38   3		23   0		11   0
