Table of dimensions of level N homology over Q(sqrt(-23))

Field	Weight	Level	Norm	SL2		GL2
23	2	52.3	 52	25   2		25   2
23	2	52.4	 52	25   2		25   2
23	2	52.5	 52	17   0		17   0
23	2	52.6	 52	20   3		20   3
23	2	54.1	 54	42   7		27   4
23	2	54.2	 54	59   12		41   6
23	2	54.3	 54	57   10		40   5
23	2	54.4	 54	37   2		24   1
23	2	54.5	 54	37   2		24   1
23	2	54.6	 54	57   10		40   5
23	2	54.7	 54	59   12		41   6
23	2	54.8	 54	42   7		27   4
23	2	58.1	 58	11   0		11   0
23	2	58.2	 58	11   0		11   0
23	2	58.3	 58	11   0		11   0
23	2	58.4	 58	11   0		11   0
23	2	59.1	 59	5   0		5   0
23	2	59.2	 59	5   0		5   0
23	2	62.1	 62	11   0		11   0
23	2	62.2	 62	12   1		12   1
23	2	62.3	 62	12   1		12   1
23	2	62.4	 62	11   0		11   0
23	2	64.1	 64	35   0		23   0
23	2	64.2	 64	47   0		35   0
23	2	64.3	 64	60   7		47   3
23	2	64.4	 64	58   11		51   4
23	2	64.5	 64	60   7		47   3
23	2	64.6	 64	47   0		35   0
23	2	64.7	 64	35   0		23   0
23	2	69.1	 69	15   4		15   4
23	2	69.2	 69	15   4		15   4
23	2	71.1	 71	5   0		5   0
23	2	71.2	 71	5   0		5   0
23	2	72.1	 72	56   9		41   6
23	2	72.2	 72	59   12		54   7
23	2	72.3	 72	47   0		35   0
23	2	72.4	 72	87   16		63   10
23	2	72.5	 72	99   28		85   14
23	2	72.6	 72	87   16		62   9
23	2	72.7	 72	87   16		62   9
23	2	72.8	 72	99   28		85   14
23	2	72.9	 72	87   16		63   10
23	2	72.10	 72	47   0		35   0
23	2	72.11	 72	59   12		54   7
23	2	72.12	 72	56   9		41   6
